,Name,Distance,Mass,Radius,,Name,Distance,Mass,Radius
81,DEN 1048-3956,13.15,77,1.07,81,DEN 1048-3956,13.15,0.073503276,0.10995641
82,Luhman 16B,6.516,43,1.02,82,Luhman 16B,6.516,0.041047284,0.10481826
83,Luhman 16A,6.516,40,1.01,83,Luhman 16A,6.516,0.03818352,0.10379063
84,DENIS-P J1058.7−1548,49,64,1.00,84,DENIS-P J1058.7−1548,49,0.061093632,0.102763
85,TWA 28,180,36,2.39,85,TWA 28,180,0.034365168,0.24560357
86,Cha 110913-773444,163,8,1.8,86,Cha 110913-773444,163,0.007636704,0.18497339999999998
87,SDSS J111010.01+011613.1,63,9,1.24,87,SDSS J111010.01+011613.1,63,0.008591292,0.12742612
88,2MASS J11145133−2618235,18.2,33,0.96,88,2MASS J11145133−2618235,18.2,0.031501404000000004,0.09865247999999999
89,TWA 26,137,30,2.20,89,TWA 26,137,0.028637640000000002,0.2260786
90,2MASS J11544223-3400390 [de],129,37,1.50,90,2MASS J11544223-3400390 [de],129,0.035319756,0.1541445
91,2MASSW J1155395-372735 [de],31,64,1.00,91,2MASSW J1155395-372735 [de],31,0.061093632,0.102763
92,2MASS J12074836-3900043,217,17,1.71,92,2MASS J12074836-3900043,217,0.016227996,0.17572473
93,2MASSI J1217110-031113 [de],36,42,0.94,93,2MASSI J1217110-031113 [de],36,0.040092696000000004,0.09659721999999998
94,2M 1237+6526,45.6,41,0.94,94,2M 1237+6526,45.6,0.039138108,0.09659721999999998
95,TWA 29,262,2.00,25,95,TWA 29,262,0.001909176,2.5690749999999998
96,SDSSp J125453.90-012247.4 [de],38,47,0.98,96,SDSSp J125453.90-012247.4 [de],38,0.044865636,0.10070773999999999
97,Kelu-1A,61,63,0.98,97,Kelu-1A,61,0.060139044,0.10070773999999999
98,Kelu-1B,61,58,0.98,98,Kelu-1B,61,0.055366104,0.10070773999999999
99,2MASS J13204427+0409045,101,67,1.01,99,2MASS J13204427+0409045,101,0.063957396,0.10379063
100,SDSSp J132629.82-003831.5 [de],65,51,0.97,100,SDSSp J132629.82-003831.5 [de],65,0.048683988000000004,0.09968010999999999
101,SDSSp J134646.45-003150.4 [de],48,44,0.94,101,SDSSp J134646.45-003150.4 [de],48,0.042001872,0.09659721999999998
102,2MASS J13595510-4034582,51,63,1.00,102,2MASS J13595510-4034582,51,0.060139044,0.102763
103,ULAS J141623.94+134836.3,29.7,32,0.96,103,ULAS J141623.94+134836.3,29.7,0.030546816,0.09865247999999999
104,SDSS J141659.78+500626.4 [de],149,59,0.99,104,SDSS J141659.78+500626.4 [de],149,0.056320692,0.10173536999999999
105,DENIS-P J142527.97-365023.4 [de],38,21,1.32,105,DENIS-P J142527.97-365023.4 [de],38,0.020046348000000002,0.13564716
106,LHS 2924,38.5,76,1.06,106,LHS 2924,38.5,0.072548688,0.10892878
107,2MASS J14392837+1929150,47,72,1.03,107,2MASS J14392837+1929150,47,0.068730336,0.10584589
108,LSPM J1440+1339,72,92,1.19,108,LSPM J1440+1339,72,0.087822096,0.12228796999999998
109,2MASS J14482563+1031590 [de],47,59,0.99,109,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
110,CFBDSIR 1458+10A,104,11.1,1.5,110,CFBDSIR 1458+10A,104,0.0105959268,0.1541445
111,CFBDSIR 1458+10B,104,9,1.3,111,CFBDSIR 1458+10B,104,0.008591292,0.13359189999999999
112,TVLM 513-46546,35.1,75,1.05,112,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
113,2MASS 1503+2525,20.7,44,0.94,113,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
114,CFBDS J150411+102717,71,44,0.94,114,CFBDS J150411+102717,71,0.042001872,0.09659721999999998
115,2MASSW J1506544+132106 [de],46,69,1.02,115,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826
116,2MASS 1507−1627,23.9,60,0.99,116,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
117,TVLM 868-110639,53,79,1.08,117,TVLM 868-110639,53,0.075412452,0.11098404
118,2MASSW J1515008+484742 [de],34,57,0.99,118,2MASSW J1515008+484742 [de],34,0.054411516,0.10173536999999999
119,2MASSI J1526140+204341 [de],67,54,0.98,119,2MASSI J1526140+204341 [de],67,0.051547752,0.10070773999999999
120,DENIS-P J153941.96-052042.4 [de],51,63,1.00,120,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
121,2MASS J15462718-3325111 [de],37,44,0.94,121,2MASS J15462718-3325111 [de],37,0.042001872,0.09659721999999998
122,2MASSW J1552591+294849 [de],68,30,1.43,122,2MASSW J1552591+294849 [de],68,0.028637640000000002,0.14695108999999998
123,2MASSW J1555157-095605 [de],44,71,1.03,123,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589
124,2MASS J16150413+1340079 [de],48,42,0.94,124,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
125,SDSSp J162414.37+002915.6 [de],36,43,0.94,125,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659721999999998
126,2MASS J16262034+3925190 [de],110,71,1.03,126,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589
127,2MASSW J1632291+190441 [de],50,49,0.97,127,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
128,WISEPA J164715.59+563208.2,28,41,0.94,128,WISEPA J164715.59+563208.2,28,0.039138108,0.09659721999999998
129,LSPM J1658+7027 [de],60,73,1.04,129,LSPM J1658+7027 [de],60,0.069684924,0.10687352
130,2MASSI J1726000+153819,114,24,1.40,130,2MASSI J1726000+153819,114,0.022910112,0.14386819999999997
131,SDSSp J175032.96+175903.9,90,47,0.97,131,SDSSp J175032.96+175903.9,90,0.044865636,0.09968010999999999
132,2MASS J18283572-4849046,39,45,0.95,132,2MASS J18283572-4849046,39,0.04295646,0.09762484999999999
133,LSR J1835+3259,18.5,77,1.07,133,LSR J1835+3259,18.5,0.073503276,0.10995641
134,2MASSW J1841086+311727,138,67,1.01,134,2MASSW J1841086+311727,138,0.063957396,0.10379063
135,2MASS J18432213+4040209,46,96,1.22,135,2MASS J18432213+4040209,46,0.091640448,0.12537086
136,2MASS J20004841-7523070,105,25,1.88,136,2MASS J20004841-7523070,105,0.0238647,0.19319443999999997
137,SDSS J204749.61-071818.3,65,46,0.96,137,SDSS J204749.61-071818.3,65,0.043911048,0.09865247999999999
138,2MASSI J2057540-025230,47,70,1.02,138,2MASSI J2057540-025230,47,0.06682116,0.10481826
139,2MASSI J2104149-103736,62,69,1.02,139,2MASSI J2104149-103736,62,0.065866572,0.10481826
140,PSO J318.5−22,80,6.5,1.53,140,PSO J318.5−22,80,0.0062048220000000005,0.15722739
141,HB 2124-4228,113,94,1.21,141,HB 2124-4228,113,0.089731272,0.12434322999999999
142,2MASS J21392676+0220226,32.1,46,0.96,142,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
143,2MASS J21481628+4003593,26.3,55,0.99,143,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
144,2MASSW J2206450-421721,93,22,1.33,144,2MASSW J2206450-421721,93,0.021000936,0.13667479
145,2MASSW J2208136+292121,154,27,1.41,145,2MASSW J2208136+292121,154,0.025773876,0.14489582999999998
146,2MASSW J2224438-015852,38,61,0.99,146,2MASSW J2224438-015852,38,0.058229868000000004,0.10173536999999999
147,2MASS J22282889-4310262,35,42,0.94,147,2MASS J22282889-4310262,35,0.040092696000000004,0.09659721999999998
148,2MASS J22373255+3922398,64,73,1.04,148,2MASS J22373255+3922398,64,0.069684924,0.10687352
149,2MASSW J2244316+204343,56,12,1.29,149,2MASSW J2244316+204343,56,0.011455056,0.13256426999999998
150,2MASS J23224684-3133231,56,24,1.39,150,2MASS J23224684-3133231,56,0.022910112,0.14284056999999997
151,2MASS J23225299-6151275,148,17,1.59,151,2MASS J23225299-6151275,148,0.016227996,0.16339317
152,2MASS J23515044-2537367,67,88,1.16,152,2MASS J23515044-2537367,67,0.084003744,0.11920507999999998
153,2MASSI J2356547-155310,74,80,1.09,153,2MASSI J2356547-155310,74,0.07636704,0.11201167000000001
154,WISE 0410+1502,20,6,1.17,154,WISE 0410+1502,20,0.005727528,0.12023270999999998
155,WISE 0458+6434A,35.9,15,4.2,155,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
156,WISE 0458+6434B,35.9,10,3.8,156,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
157,WISE 1405+5534,25.3,30,0.86,157,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
